sentID.BTEC,split,lang,sent,label
14123,corpus-6-dev,CAI,عايز كتاب مصور، لو سمحت.,Egyptian
2100,corpus-6-test-corpus-26-test,AMM,هو أخد محفظتي وهرب بعيد.,Levantine
18798,corpus-6-test-corpus-26-test,RIY,عندنا نبيذ ابيض ممتاز.,Gulf
13267,corpus-6-test-corpus-26-train,BAS,زين. راح اخذ بس ثنين. شكراالك.,Iraqi
12963,corpus-6-train,CAI,ابعت التلغراف ده، من فضلك.,Egyptian
6086,corpus-6-test-corpus-26-train,BAG,اني راح اطلع باجر منوكت، لذلك أريد أدفع هسة.,Iraqi
7321,corpus-6-test-corpus-26-train,ASW,ممكن أشتري تذكرة مترو من فين؟,Egyptian
11190,corpus-6-test-corpus-26-train,RIY,عدد سكان اليابان حوالي مئة و عشرين مليون.,Gulf
14014,corpus-6-test-corpus-26-train,BAG,اتمنالك سنة سعيدة جداً.,Iraqi
11060,corpus-6-train,CAI,ممكن مفتاح أوضتي، من فضلك؟ رقم الاوضه واحد خمستاشر .,Egyptian
5307,corpus-6-test-corpus-26-dev,RIY,ثلاث مئة وخمسين دولار؟ هذا فوق ميزانيتي.,Gulf
12132,corpus-6-train,CAI,خبير الطبخ عمال بيتشهر فعلا الايام دي.,Egyptian
18879,corpus-6-test-corpus-26-train,ALX,إوصل هناك على تسعة، لو سمحت.,Egyptian
16793,corpus-6-test-corpus-26-train,MUS,تحويل تذكرة، من فضلك.,Gulf
917,corpus-6-test-corpus-26-train,JER,رح أدفع خمسين دولار.,Levantine
16928,corpus-6-test-corpus-26-dev,ALG,ماصبتهومش في حتى مكان.,Maghrebi
9160,corpus-6-test-corpus-26-train,AMM,كم تكلفة الإيميل الجوي لليابان؟,Levantine
13133,corpus-6-test-corpus-26-train,FES,سكرت بالنبيذ.,Maghrebi
14168,corpus-6-test-corpus-26-train,MOS,كاش لو احملك؟,Iraqi
19572,corpus-6-test-corpus-26-train,JED,تمام، بس تعتمد على أيش بتستخدم وصيلة موأصلات. بتروح بباص ولا بطيارة؟,Gulf
8823,corpus-6-test-corpus-26-dev,AMM,إنزل هون، وروح على باص رقم ستة.,Levantine
6517,corpus-6-test-corpus-26-train,RIY,اشكرك من أعماق قلبي.,Gulf
4284,corpus-6-test-corpus-26-train,BAG,بأيام راس السنة الجديدة. وبمناسبات خاصة مثل حفلات الزفاف، حفلات توزيع الجوائز او مجالس العزاء.,Iraqi
18262,corpus-6-train,RAB,واش تقدر تشارك نص التكلفة فالعام الأول كيفما دارو كل الموردين ديالنا؟,Maghrebi
8095,corpus-6-test-corpus-26-train,JER,وين ضاحية المدينة؟,Levantine
9885,corpus-6-test-corpus-26-train,DOH,عندي تقريباً ألفين وخمسمية دولار بالين الياباني.,Gulf
16833,corpus-6-test-corpus-26-train,MOS,هل لازم اجي للمستشفى كل يوم؟,Iraqi
13515,corpus-6-test-corpus-26-train,BAS,اكو طابق عرض؟,Iraqi
3510,corpus-6-train,CAI,ديه غالية شوية .,Egyptian
17272,corpus-6-test-corpus-26-train,ALG,وين نقدر نسجل للخطوط الجوية اليابانية؟,Maghrebi
13347,corpus-6-test-corpus-26-train,ALE,طيب، فكر شقد رح يطول شغلو أكتر إذا سأل سؤال واحد زيادة لكل شخص. دي ولو، خلينا نستعجل ونجيب غراضنا. لازم نروح ع قسم التصريح الجمركي بعدها.,Levantine
2268,corpus-6-train,RAB,كاين الصهد.,Maghrebi
9701,corpus-6-test-corpus-26-train,BAS,شنو الماركات العندك؟,Iraqi
18607,corpus-6-train,RAB,مزيان، هاد الشي اعطاني الانطباع باللي أنه بلد جبلي، عامر، مروج، عامر بالصداع، حيوي، تقريبا منفجر. باللي أنهم شعب كايخدم مزيان، كايتحرك، فيه الفضول، كايبغي يتعلم، ياكل و يشرب بكل شراهة، يربح فلوس و يصرفهوم.,Maghrebi
15763,corpus-6-test-corpus-26-train,ALX,أقدر أجيب دة على متن الطيارة؟,Egyptian
10830,corpus-6-test-corpus-26-train,BAS,وين قسم غير المدخنين؟,Iraqi
4648,corpus-6-test-corpus-26-test,BAG,اني ويه صديقي.,Iraqi
8456,corpus-6-test-corpus-26-train,MOS,جواز سفري وبطاقه ائتماني بجنطتي.,Iraqi
14448,corpus-6-test-corpus-26-train,MUS,اسمي ساتو.,Gulf
15594,corpus-6-dev,DOH,ابغي اسوي حجز على الخطوط الجوية اليابانية تاريخ عشرين مارس.,Gulf
14167,corpus-6-test-corpus-26-train,JED,اكي، تعرف أي محل تسجيل قريب من هنا؟,Gulf
4185,corpus-6-test-corpus-26-train,DAM,أديش بيبعد من هون؟,Levantine
4945,corpus-6-test-corpus-26-train,ALX,مش ممكن. إحنا ف أجازة. انا أرفض أقعد ف أوضة أوتيل وأتفرج على بيسبول فى التليفزيون. انا عاوز أروح أشوف مسرحية.,Egyptian
14777,corpus-6-test-corpus-26-test,RAB,واخا. واش يمكن ليك اتعاود تكتب العنوان على هاد المغلف؟,Maghrebi
18401,corpus-6-test-corpus-26-train,FES,ساعتي. كانت علامة تجارية جديدة مصنوعة فسويسرة ورقمية.,Maghrebi
13769,corpus-6-test-corpus-26-train,MUS,على الأعمال التجارية. لدي اتصال تجاري هناك.,Gulf
13159,corpus-6-test-corpus-26-train,JED,شيك سياحي وين يأباني، اوك؟,Gulf
17808,corpus-6-test-corpus-26-train,MUS,في بنك قريب من هنا؟,Gulf
7068,corpus-6-train,CAI,فيه كام حزب سياسي موجودين؟,Egyptian
10667,corpus-6-train,DOH,من كان المهندس؟,Gulf
9494,corpus-6-test-corpus-26-test,ASW,الطوال موضة دلوقتي.,Egyptian
14531,corpus-6-test-corpus-26-test,MOS,اغيد كيرلي خفيف، رجاءا.,Iraqi
9378,corpus-6-train,RAB,كيفاش يمكن لي نلقى المبنى اللي فيه المكتب ديالك؟,Maghrebi
2440,corpus-6-test-corpus-26-train,JED,حشوف اذا فيه شيء يناسبني.,Gulf
17475,corpus-6-test-corpus-26-train,BAS,كلش غالي. ما اكدر اشتريه.,Iraqi
18401,corpus-6-test-corpus-26-train,ASW,ساعتي. كانت صناعة توكيل نيو سويس رقمية.,Egyptian
18682,corpus-6-train,CAI,السلطة التشريعية هي النظام.,Egyptian
15692,corpus-6-test-corpus-26-train,FES,هادا غالي بزاف.,Maghrebi
3423,corpus-6-train,RAB,بغيت شي طرونبونات.,Maghrebi
1774,corpus-6-train,RAB,رحلة سعيدة.,Maghrebi
9324,corpus-6-test-corpus-26-train,MOS,اعذرني، حضرة الشرطي؟,Iraqi
9372,corpus-6-test-corpus-26-train,JER,لايمتا بيضل فاتح؟,Levantine
19862,corpus-6-test-corpus-26-train,ALG,اتصل بسيارة اسعاف.,Maghrebi
15206,corpus-6-test-corpus-26-train,MUS,مم. ما يشتغل؟ ممكن تروح لكرسي فاضي، اذا تبغى.,Gulf
12012,corpus-6-test-corpus-26-train,BAS,كوتيل روبيان الها ونفس الشي الي.,Iraqi
9367,corpus-6-test-corpus-26-train,ALX,عاوز أشترى هدايا تذكارية. فى محل مناسب قريب من هنا؟,Egyptian
2808,corpus-6-test-corpus-26-train,MOS,رجاءا قللي على شويه شوارع ملائمة للتسوق.,Iraqi
15763,corpus-6-test-corpus-26-train,RIY,اقدر اجيب هذا على متن الطائرة؟,Gulf
8050,corpus-6-test-corpus-26-train,ALX,فهمت.,Egyptian
10830,corpus-6-test-corpus-26-train,ALX,فين قسم غير المدخنين؟,Egyptian
14737,corpus-6-test-corpus-26-train,ALE,في شي صناديق بريد قريب من هون؟,Levantine
12701,corpus-6-test-corpus-26-train,BEI,وين الحلاء؟,Levantine
17163,corpus-6-test-corpus-26-train,ALG,راني حاب شعري شوية طويل من الخلف.,Maghrebi
17857,corpus-6-train,DOH,الليتات في غرفتي ما يشتغلون.,Gulf
6835,corpus-6-test-corpus-26-train,AMM,شكلك منيح.,Levantine
13769,corpus-6-test-corpus-26-train,SAL,بالاعمال . عندي اتصالات اعمال هون .,Levantine
6660,corpus-6-test-corpus-26-dev,ALE,قطاع الجسر هنيك، وبتلاقي المكتبة ع طرف اليسار.,Levantine
4134,corpus-6-train,CAI,كام تكلفة الغرفة؟,Egyptian
16312,corpus-6-test-corpus-26-train,MUS,شكرا جزيلا على لطفك.,Gulf
13488,corpus-6-test-corpus-26-train,FES,شنو واقع فهاد الوقت المتأخر؟,Maghrebi
13573,corpus-6-train,CAI,ده مجانا.,Egyptian
14507,corpus-6-test-corpus-26-train,ALG,اذا كامل مصاريف النقل داخلين؟,Maghrebi
14483,corpus-6-test-corpus-26-train,AMM,لو سمحت حطه بشنتة غسيل وإتركه هناك.,Levantine
9372,corpus-6-test-corpus-26-train,ALG,حتى لوقتاش يبقى مفتوح؟,Maghrebi
4321,corpus-6-test-corpus-26-test,BAG,يا فلم تنصح بيه؟,Iraqi
8159,corpus-6-train,DOH,كم يكلف بالبريد الجوي؟,Gulf
2381,corpus-6-test-corpus-26-train,JED,أبا كاسة نبيذ احمر.,Gulf
17526,corpus-6-test-corpus-26-train,CAI,لا، أعتقد أنهم نسيوا يجبولنا واحد.,Egyptian
13382,corpus-6-train,BEI,فيك تعيط للمسؤول عن الغارسونية، إزا بتريد؟,Levantine
10937,corpus-6-test-corpus-26-dev,CAI,مسجل الفيديو اتسرق من أوضتي .,Egyptian
14862,corpus-6-test-corpus-26-train,SAL,حاب انضم من سان دييغو .,Levantine
16653,corpus-6-test-corpus-26-dev,FES,فين ممكن نشري ثوب ديال الطبلة؟,Maghrebi
17394,corpus-6-test-corpus-26-train,MOS,ما عدنه نفس التصميم تماما هسه. غاح اجيك مخازنه. انتظر بس دقيقه، رجاءا.,Iraqi
13657,corpus-6-test-corpus-26-train,RIY,انا غير جيد جدا فيي الألمانية.,Gulf
14459,corpus-6-test-corpus-26-train,JER,بدي أخد هاي الوجبة الرئيسية.,Levantine
2505,corpus-6-test-corpus-26-train,ASW,الأتوبيس هناك أهو.,Egyptian
2086,corpus-6-test-corpus-26-train,MUS,أبا ورق فلوس.,Gulf
5906,corpus-6-test-corpus-26-train,FES,بغيت نأكد مرة أخرى على الرحلة ديالي لشيكاغو نها سبعة عشر.,Maghrebi
15037,corpus-6-test-corpus-26-train,AMM,بدي تقرير طبي والوصل عشان تأميني.,Levantine
3512,corpus-6-test-corpus-26-test,MUS,ابغا مكان صغير.,Gulf
13134,corpus-6-test-corpus-26-train,MOS,دير بالك لان الطقس كلش متغير بالجبيل.,Iraqi
4501,corpus-6-test-corpus-26-train,JED,زوجتك طباخة ممتازة.,Gulf
11417,corpus-6-train,CAI,معاك محضر البولبس، مش كده؟ ايه ارقام الشيك بتاعك؟,Egyptian
16895,corpus-6-train,CAI,فين المغسلة اللي بتشتغل بالفلوس المعدنية؟,Egyptian
18211,corpus-6-test-corpus-26-train,BAS,هو شوي مالح، بس انا احبه، جبته وياك على طول الطريق من اليابان؟,Iraqi
19360,corpus-6-test-corpus-26-train,JED,أيوا. اسف انا مضطر. كيف وضع الأمان في المنطقة دي؟,Gulf
4674,corpus-6-test-corpus-26-train,JED,أبا ارسل دا للمغسلة. متى يجهز؟,Gulf
10191,corpus-6-test-corpus-26-dev,JED,معليش، فين المحطة اللي هنا؟,Gulf
5263,corpus-6-test-corpus-26-train,JER,فنجان قهوة، لو سمحت.,Levantine
14529,corpus-6-train,BEI,بدي نام.,Levantine
11282,corpus-6-test-corpus-26-train,SAL,بتقدر تجهزو على الخمسة المسا بكرا؟,Levantine
7349,corpus-6-test-corpus-26-train,ALG,نقدر ندي هاذا و هاذا، من فضلك؟,Maghrebi
16100,corpus-6-dev,CAI,راجع كل حاجة، لو سمحت.,Egyptian
19444,corpus-6-test-corpus-26-dev,SAL,شو الاسرع، تكسي و لاسيارة اسعاف؟,Levantine
17526,corpus-6-test-corpus-26-train,ASW,لا، أنا متهيئلي هم نسيو يجبولنا واحد.,Egyptian
17135,corpus-6-train,RAB,واش نقدرو نحصلو على مرشد كايهضر باليابانية؟,Maghrebi
3859,corpus-6-test-corpus-26-train,AMM,شو نوع الخبز اللي عندك؟,Levantine
14810,corpus-6-test-corpus-26-train,FES,كنعتقد بلي محجوز كامل.,Maghrebi
6792,corpus-6-train,CAI,لأ، مش بأدخن . عربية غير المدخنين، إذا سمحت .,Egyptian
8734,corpus-6-test-corpus-26-train,ALG,واو، شحال شباب المكان.,Maghrebi
14180,corpus-6-train,RAB,للتأمين بغيت تغطية كاملة للاصطدام.,Maghrebi
13748,corpus-6-test-corpus-26-test,JER,بدي أوتيل أرخص.,Levantine
1193,corpus-6-test-corpus-26-test,MUS,هل هناك فرقة موسيقية لايف أو دي جيه؟,Gulf
10985,corpus-6-test-corpus-26-train,FES,وفقا لغورو، السيد يامادا عندو جوج أطفال.,Maghrebi
2670,corpus-6-test-corpus-26-test,FES,من بعد، عافاك عطيني حجز أخور.,Maghrebi
11500,corpus-6-test-corpus-26-train,ALX,عاوز أروح وول ستريت. إزاى أوصل هناك؟,Egyptian
10559,corpus-6-test-corpus-26-train,BAG,تكدر تبقى هنا اثناء الاجازه؟,Iraqi
7305,corpus-6-test-corpus-26-train,BAG,اريد معدل تقييم الكتاب.,Iraqi
7811,corpus-6-test-corpus-26-train,BAS,اباكيت بشاطئ وايمالنالو. رجاء تعال هسه.,Iraqi
13184,corpus-6-test-corpus-26-train,ALE,منحسن نحكي بالموضوع بكافيه.,Levantine
7321,corpus-6-test-corpus-26-train,DAM,من وين فيني اشتري تذكرة مترو؟,Levantine
1205,corpus-6-train,DOH,مسامحة. انا غريب عن هني. تبغي اسأل لك الرجال؟ لحظة، لو سمحت.,Gulf
16839,corpus-6-test-corpus-26-train,ASW,بكام تكلفة البوسطة لبعت الجواب ده لليابان؟,Egyptian
3512,corpus-6-test-corpus-26-test,JER,بدي مكان صغير.,Levantine
3295,corpus-6-test-corpus-26-train,MOS,لا، ماكو.,Iraqi
6339,corpus-6-test-corpus-26-train,MUS,من فضلك شغل العداد.,Gulf
12766,corpus-6-test-corpus-26-test,BAS,وين اقربكيميائي؟,Iraqi
12193,corpus-6-test-corpus-26-train,AMM,طوكيو صفر تلاتة أربع تسعات أربعة خمسة ستة سبعة.,Levantine
619,corpus-6-train,BEI,غلطتي.,Levantine
8805,corpus-6-test-corpus-26-train,RIY,وش هي المحطة الجاية؟,Gulf
7814,corpus-6-test-corpus-26-train,DAM,بدي غلف هاد.,Levantine
17947,corpus-6-test-corpus-26-test,ALX,الليموزين هتقف عند البوابة الشمالية الأولى.,Egyptian
3859,corpus-6-test-corpus-26-train,ALE,اش نوع الخبز يلي عندك؟,Levantine
14158,corpus-6-train,RAB,راه خاصك تقريبا مياتاين دولار باش يمكن ليك تحصل على مزهرية ازوينة.,Maghrebi
14059,corpus-6-test-corpus-26-test,RIY,عندنا نيوبرغ جمبري و ساق غنم مشوية.,Gulf
5573,corpus-6-train,CAI,ممكن تطتبلي محضر سرقة؟,Egyptian
679,corpus-6-test-corpus-26-test,JED,اوه، ولا شيء. انت هنا، على كل حال.,Gulf
18382,corpus-6-test-corpus-26-train,DAM,بدي ارجع أكد رحلتي.,Levantine
5706,corpus-6-test-corpus-26-train,JED,الاكل دا قليل في سعراته؟,Gulf
6481,corpus-6-test-corpus-26-train,BAS,العاشر من تشرين الثاني.,Iraqi
7871,corpus-6-test-corpus-26-dev,BAS,العد كرة وحدة، ضربتين.,Iraqi
7321,corpus-6-test-corpus-26-train,BAG,منين اكدر اشتري تذكره مترو الانفاق؟,Iraqi
2734,corpus-6-test-corpus-26-train,ASW,ماشي، خليك على الخط لو سمحت. الأستاذ ناكاجيمي و مدام سايتو الظاهر أنهم مبيرضوش على التليفون. إنت عايزنى أرن عليهم اكتر من كدة؟,Egyptian
8456,corpus-6-test-corpus-26-train,MUS,كان عندي جواز سفري وبطاقة ائتمان في حقيبتي.,Gulf
18341,corpus-6-test-corpus-26-train,BAG,عندك دوه مال اضطراب معدة؟,Iraqi
7622,corpus-6-test-corpus-26-train,MOS,اغيد احجز طاولي لشخصين ساعه سبعه، رجاءا.,Iraqi
13090,corpus-6-test-corpus-26-dev,FES,آسف بزاف، ولكن معنديش كثر من هاكا. شنو بالنسبة لأوراق الإنجليزية؟,Maghrebi
12034,corpus-6-dev,DOH,اذا جذي ما بيصير عندي وقت.,Gulf
8581,corpus-6-train,CAI,ازاي أوصل لهناك؟ ممكن تشاورلي عالخريطة؟,Egyptian
11,corpus-6-test-corpus-26-train,JED,امشي سيدا لين ما تلاقي الصيدلية.,Gulf
5940,corpus-6-test-corpus-26-train,BAS,محفظتي، الجواز وباقي الممكتلكات الشخصية.,Iraqi
1837,corpus-6-test-corpus-26-train,MOS,احتاج اصرف هالدولارات.,Iraqi
15464,corpus-6-test-corpus-26-test,DAM,مخارج الطوارء موجودة بأول هي الطيارة، وبنصها، وبآخرها.,Levantine
1474,corpus-6-test-corpus-26-train,RAB,بغيت نحجز غرفة لليوم بالليل.,Maghrebi
9150,corpus-6-test-corpus-26-train,AMM,ممكن تعتني فيها من الساعة تسعة الصبح لحوالي الساعة تلاتة؟,Levantine
221,corpus-6-test-corpus-26-train,DAM,فيك تعمل الترتيبات سلفاً؟,Levantine
10403,corpus-6-test-corpus-26-train,ASW,ممكن تقوله بكلمات تانية؟,Egyptian
14346,corpus-6-train,CAI,ممكن تكتب التقرير بدالي؟,Egyptian
3859,corpus-6-test-corpus-26-train,JER,شو في عندك أنواع خبز؟,Levantine
13306,corpus-6-test-corpus-26-train,JED,مرة كان شيء جميل اني قابلتك.,Gulf
16976,corpus-6-test-corpus-26-train,DAM,بدي طول اكمام هالجاكيت الرياضي.,Levantine
14612,corpus-6-test-corpus-26-train,BAG,بدون حليب، رجاءً.,Iraqi
1837,corpus-6-test-corpus-26-train,JED,يبالي اغير الدولار دا.,Gulf
14459,corpus-6-test-corpus-26-train,BAS,راح اخذ هذي الوجبة الثابتة.,Iraqi
3859,corpus-6-test-corpus-26-train,ALG,واش أنواع الخبز لي عندكم؟,Maghrebi
12240,corpus-6-test-corpus-26-train,ALE,خرج تساعدني ألاقي حديقة الحيوانات؟,Levantine
9372,corpus-6-test-corpus-26-train,DAM,لإيمتا بضل فاتح؟,Levantine
16842,corpus-6-test-corpus-26-train,MUS,أبغا قلاص من النبيذ.,Gulf
12766,corpus-6-test-corpus-26-test,FES,في كاين أقرب كيميائي؟,Maghrebi
16799,corpus-6-test-corpus-26-train,RIY,ابغى حقيبة كيلي الحمراء بنفس التصميم هذا.,Gulf
9746,corpus-6-test-corpus-26-train,JED,ينطق ج-و-ر-و-ه.,Gulf
15673,corpus-6-test-corpus-26-train,BAG,بهذا الحجم، رجاءً.,Iraqi
1620,corpus-6-test-corpus-26-train,ASW,من باب الإحتياط، إديني رقم الشخص المسئول.,Egyptian
221,corpus-6-test-corpus-26-train,BAG,راح تسوي ترتيبات بشكل مسبق؟,Iraqi
19306,corpus-6-test-corpus-26-train,RIY,بطاقة، لو سمحت.,Gulf
12718,corpus-6-train,RAB,إيوا، أوه، بغيت بيضة مسلوقة، كنقصد نص سلقة، عافاك.,Maghrebi
16231,corpus-6-test-corpus-26-train,ALX,ياخد وقت أد إيه علشان يوصل اليابان بالبريد الجوى؟,Egyptian
16106,corpus-6-test-corpus-26-train,ASW,صباح الخير. معاك مكتب الاستقبال. اقدر أساعدك؟,Egyptian
667,corpus-6-test-corpus-26-test,SAL,كان المفروض انك تسافر بطيارة الثمنية و ثلث، و اللي طلعت قبل ربع ساعة . مش مشكلة، رح ارتبلك برحلة ثانية.,Levantine
11800,corpus-6-test-corpus-26-train,ALX,أنا عاوز أحط الحاجات الغالية بتاعتى فى أمانات الفندق.,Egyptian
8468,corpus-6-dev,RAB,بغيت شي كينا ديال الراس.,Maghrebi
3847,corpus-6-test-corpus-26-train,BAS,انا طالع هسه. راح اخذها.,Iraqi
3220,corpus-6-test-corpus-26-train,ASW,عايز تشرب أي حاجة من البار؟,Egyptian
11282,corpus-6-test-corpus-26-train,ASW,ممكن يبقى معاك جاهز على بكرة الساعة خمسة العصر؟,Egyptian
1100,corpus-6-test-corpus-26-train,ALG,نحتاج حفاظات.,Maghrebi
15784,corpus-6-test-corpus-26-train,ASW,كويس. إنت عايز شال علشان يمشي على ده؟,Egyptian
18640,corpus-6-test-corpus-26-train,SAL,لعشر ايام .,Levantine
17963,corpus-6-test-corpus-26-train,BAG,لأي ساعة اكدر استعمل مطعم الفندق؟,Iraqi
13966,corpus-6-test-corpus-26-train,BEI,وين أأرب مطعم عالأوتيل؟,Levantine
19505,corpus-6-test-corpus-26-train,ALG,نآخذ عشرين دمية دبدوب كبيرة، من فضلك.,Maghrebi
6972,corpus-6-train,RAB,إيوا، ريمينتون باراكا.,Maghrebi
13090,corpus-6-test-corpus-26-dev,AMM,آسف كتير، بس ما عنا كمان. شو رأيك بورق إنجليزي؟,Levantine
12193,corpus-6-test-corpus-26-train,MUS,طوكيو صفر ثلاثة أربع تسعات أربعة خمسة ستة سبعة.,Gulf
19360,corpus-6-test-corpus-26-train,ALE,نعم. للأسف لازم أعمل هيك. شلون جودة الحفاظ ع الأمن بهالمنطقة؟,Levantine
5411,corpus-6-test-corpus-26-train,ASW,يا رب تكون مش تعبان.,Egyptian
5669,corpus-6-train,DOH,انا جيت عشان ادرس في مدرسة لغة.,Gulf
10006,corpus-6-test-corpus-26-train,BAS,احنه نفتح بالتسعة الصبح.,Iraqi
9591,corpus-6-train,RAB,واش كاين شي نادي ليلي فهاد الجوايه؟,Maghrebi
10882,corpus-6-test-corpus-26-train,ALE,إينا نوع من بطاقات الائتمان بتقبل؟,Levantine
15607,corpus-6-test-corpus-26-test,SAL,اعطيني كم سيجارة .,Levantine
16542,corpus-6-test-corpus-26-train,MOS,انا ماعدفتهم تفسيراتك.,Iraqi
11466,corpus-6-train,DOH,لازم انزل. هذي القطار الخطأ.,Gulf
16335,corpus-6-test-corpus-26-train,BAG,آسف، احنا ما نبيع تذاكر للمسرح.,Iraqi
16271,corpus-6-test-corpus-26-train,BAG,هذا نوع من القذارة.,Iraqi
10997,corpus-6-test-corpus-26-train,ASW,كنت عايز أعدي على برج لندن.,Egyptian
14416,corpus-6-test-corpus-26-train,ALG,انتي شابة بزاف.,Maghrebi
10882,corpus-6-test-corpus-26-train,JER,أي أنواع فيزا بتاخدو؟,Levantine
513,corpus-6-train,DOH,قرسون.,Gulf
2100,corpus-6-test-corpus-26-test,SAL,أخذ محفظتي و هرب .,Levantine
17818,corpus-6-train,BEI,إلي شو برنامجك لهالجمعة.,Levantine
14862,corpus-6-test-corpus-26-train,BAG,اريد انضم من سان فرانسيسكو.,Iraqi
15775,corpus-6-test-corpus-26-train,RIY,اوك. كل اللي ابغى اعرفه اذا العمل التجاري بيدفع لطريقه الخاص.,Gulf
2179,corpus-6-test-corpus-26-train,BAS,اكو تلفون عمومي مقابيل البنك.,Iraqi
14134,corpus-6-train,DOH,انا صج آسف، بس بتأخر على الاجتماع. صادتني الزحمة.,Gulf
10997,corpus-6-test-corpus-26-train,JER,حابب أعمل لفة لبرج لندن.,Levantine
2179,corpus-6-test-corpus-26-train,DAM,في كشك تلفون قدام البنك.,Levantine
4814,corpus-6-test-corpus-26-dev,MOS,اشعر بضيق في الصدر.,Iraqi
2876,corpus-6-train,CAI,تذكرة لشيكاجو، إذا سمحت .,Egyptian
140,corpus-6-test-corpus-26-train,ASW,لا. بس ممكن اقترح بدل من كدة أوضة مزدوجة لاستخدام فرد؟ احنا عندنا واحدة.,Egyptian
13609,corpus-6-test-corpus-26-test,MOS,عدتسال اش لازم اخذ منو؟,Iraqi
8646,corpus-6-train,RAB,شحال النسبا ديال الصرف؟,Maghrebi
17272,corpus-6-test-corpus-26-train,BAS,وين اكدر اسجل للخطوط الجوية اليابانية؟,Iraqi
8143,corpus-6-test-corpus-26-train,FES,ما هو أبعد من داكشي؟,Maghrebi
10440,corpus-6-test-corpus-26-train,SAL,لو سمحت، الغي رقم بطاقتي .,Levantine
14008,corpus-6-test-corpus-26-train,ASW,إنت تفتكر ممكن يتلاقى فين؟,Egyptian
16576,corpus-6-test-corpus-26-train,ALE,بضاين؟,Levantine
14507,corpus-6-test-corpus-26-train,MOS,هل كل تكاليف السفر متضمني؟,Iraqi
